Epoch,Training Loss,Validation Loss,Training Loss,Validation Loss,1 layer,2 layer,3 layer,4 layer,5 layer,12 layer,1 neuron,5 neuron,10 neuron,30 neuron
38,1.190117,1.268453,0.76167488,0.7867424,3.8010424,3.06683392,2.473467136,2.010773709,1.614218967,0.70806816,6.2720636,4.236553,3.80992005,2.138685774
39,1.189549,1.285718,0.76131136,0.79208544,3.78783544,3.063468352,2.460374682,1.996699745,1.620559796,0.712876896,6.27040316,4.2291193,3.798156405,2.142271697
40,1.184597,1.284883,0.75814208,0.7902336,3.212847162,2.59267773,2.102142184,1.719713747,1.389370998,0.71121024,5.980657181,3.796752172,3.258823414,1.870847233
41,1.18642,1.244492,0.7593088,0.77789184,3.212755402,2.605404322,2.091923458,1.688338766,1.372271013,0.700102656,5.967869541,3.790312472,3.257144669,1.855879305
42,1.184368,1.326946,0.75799552,0.80362048,3.246734042,2.619787234,2.118229787,1.72018383,1.395747064,0.723258432,6.010187501,3.828460772,3.292165724,1.882289806
43,1.190444,1.296356,0.76188416,0.795776,3.204739562,2.59139165,2.09591332,1.686730656,1.384184525,0.7161984,5.980945781,3.792842672,3.251765339,1.865916154
44,1.186889,1.278189,0.75960896,0.78882496,3.220838522,2.586270818,2.092216654,1.692173323,1.369738659,0.709942464,5.981644221,3.801241372,3.265939234,1.856039202
45,1.183729,1.286941,0.75758656,0.7906144,3.202477962,2.56478237,2.081825896,1.686260717,1.352208573,0.71155296,5.973853381,3.788165672,3.248899889,1.839399993
46,1.185057,1.30736,0.75843648,0.79757344,3.205687002,2.582149602,2.086919682,1.681135745,1.345308596,0.717816096,5.982016941,3.793851972,3.252728244,1.835017271
47,1.185852,1.237993,0.75894528,0.7756304,3.219193962,2.61495517,2.103964136,1.713171309,1.370937047,0.69806736,5.966427381,3.792810672,3.262598139,1.855311772
48,1.186339,1.206206,0.75925696,0.7656144,3.189827962,2.55546237,2.045569896,1.647255917,1.343004733,0.68905296,5.941328381,3.765578172,3.233765514,1.827519421
49,1.184902,1.272932,0.75833728,0.78650688,3.219370442,2.611896354,2.120717083,1.700973666,1.371978933,0.707856192,5.976592101,3.797981272,3.264023149,1.857179401
50,1.181773,1.213774,0.75633472,0.76657504,3.202488602,2.594390882,2.099512706,1.699210164,1.391768132,0.689917536,5.947819341,3.775153972,3.245654944,1.8684453
51,1.179328,1.272275,0.75476992,0.78451296,3.207476522,2.574381218,2.067104974,1.658483979,1.358387184,0.706061664,5.967851221,3.787663872,3.252523359,1.844242522
52,1.182517,1.211377,0.75681088,0.76604608,3.199659642,2.573727714,2.070182171,1.682945737,1.34795659,0.689441472,5.945075901,3.772367772,3.242836674,1.832838826
53,1.180982,1.281441,0.75582848,0.78797536,3.231838922,2.595471138,2.09477691,1.677821528,1.381057223,0.709177824,5.982694821,3.807266872,3.275695909,1.866299153
54,1.182704,1.287907,0.75693056,0.79059552,3.197509082,2.579607266,2.072485813,1.69118865,1.37455092,0.711535968,5.967750061,3.782629572,3.243789204,1.85616665
55,1.182894,1.22507,0.75705216,0.77054848,3.177312042,2.569449634,2.085559707,1.672847766,1.370678213,0.693493632,5.937204501,3.757258272,3.222298599,1.847994225
56,1.182542,1.293889,0.75682688,0.79245792,3.201471482,2.592377186,2.087901749,1.677121399,1.359697119,0.713212128,5.970793661,3.786132572,3.247636754,1.84498421
57,1.180542,1.245382,0.75554688,0.77629568,3.192359242,2.587087394,2.108069915,1.693655932,1.362124746,0.698666112,5.949675301,3.771017272,3.237023749,1.843903251
58,1.182501,1.25029,0.75680064,0.77849312,3.214006682,2.593605346,2.112084277,1.720067421,1.400053937,0.700643808,5.962296461,3.788151572,3.257542904,1.877673464
59,1.1768,1.321823,0.753152,0.79955936,3.231722922,2.588978338,2.10478267,1.716226136,1.379780909,0.719603424,5.991820821,3.811771872,3.276735159,1.866179102
60,1.178655,1.208986,0.7543392,0.76404512,3.192458682,2.562366946,2.076293557,1.700234845,1.377787876,0.687640608,5.936274461,3.764366572,3.235435654,1.855103615
61,1.177252,1.195741,0.75344128,0.75935776,3.182821322,2.557057058,2.049645646,1.665316517,1.339053214,0.683421984,5.926368421,3.754594872,3.225764709,1.822161546
62,1.179611,1.253337,0.75495104,0.77854336,3.203456922,2.589965538,2.08597243,1.687177944,1.352542355,0.700689024,5.955471821,3.779464372,3.247458784,1.837926758
63,1.176167,1.243082,0.75274688,0.77415968,3.210123242,2.581298594,2.076638875,1.6789111,1.36472888,0.696743712,5.954021301,3.782072272,3.253110499,1.848197558
64,1.173385,1.290487,0.7509664,0.78843904,3.220252602,2.591802082,2.079041666,1.701633332,1.363706666,0.709595136,5.972965341,3.796608972,3.264341694,1.850287127
65,1.174457,1.214032,0.75165248,0.76431648,3.207180042,2.582144034,2.104915227,1.703532182,1.396825745,0.687884832,5.941906501,3.774543272,3.249020849,1.87236925
66,1.172285,1.267562,0.7502624,0.78075104,3.191064602,2.577251682,2.091801346,1.711441076,1.377552861,0.702675936,5.949883341,3.770473972,3.235916944,1.856137083
67,1.175555,1.422059,0.7523552,0.83123648,3.248600042,2.602880034,2.114704027,1.698163222,1.359330577,0.748112832,6.028736501,3.838668272,3.296117099,1.855198116
68,1.174088,1.202237,0.75141632,0.760424,3.175237562,2.54019005,2.04375204,1.643001632,1.334401306,0.6843816,5.920842781,3.748040172,3.218438214,1.817129079
69,1.175357,1.227769,0.75222848,0.76900032,3.187263882,2.589011106,2.072408885,1.663927108,1.336741686,0.692100288,5.935032261,3.761148072,3.230734929,1.821622963
70,1.171868,1.567863,0.74999552,0.87671392,3.298827482,2.668661986,2.169329589,1.735463671,1.413970937,0.789042528,6.098127661,3.898477572,3.348740004,1.910872264
71,1.175432,1.224506,0.75227648,0.76798016,3.192743722,2.592194978,2.074555982,1.686044786,1.355235829,0.691182144,5.935952021,3.764347872,3.235644759,1.837058238
72,1.168624,1.257867,0.74791936,0.77647712,3.203090682,2.582472546,2.085578037,1.672062429,1.371249944,0.698829408,5.949222461,3.776156572,3.246357154,1.85223127
73,1.173981,1.214254,0.75134784,0.7642352,3.195498762,2.57559901,2.074479208,1.690383366,1.374306693,0.68781168,5.932784581,3.764141672,3.237659489,1.852273689
74,1.169211,1.186871,0.74829504,0.75394624,3.158659802,2.544527842,2.038022274,1.654817819,1.353854255,0.678551616,5.903676141,3.731167972,3.201786844,1.829316998
75,1.165075,1.279782,0.745648,0.78235424,3.208117802,2.596894242,2.109515394,1.715612315,1.378889852,0.704118816,5.956413141,3.782265472,3.251654719,1.859564976
76,1.170866,1.278706,0.74935424,0.78386304,3.196276602,2.579021282,2.092417026,1.69513362,1.379306896,0.705476736,5.951601341,3.773938972,3.240692194,1.858233311
77,1.168679,1.198427,0.74795456,0.75747392,3.168537482,2.542429986,2.050743989,1.676995191,1.351996153,0.681726528,5.910942661,3.739740072,3.211338129,1.829544937
78,1.169175,1.271003,0.748272,0.78085696,3.210170522,2.573736418,2.085789134,1.692631307,1.356905046,0.702771264,5.954742221,3.782456372,3.253241984,1.842015311
79,1.171555,1.294009,0.7497952,0.78898048,3.192544042,2.586835234,2.089468187,1.70477455,1.38621964,0.710082432,5.953652501,3.773098272,3.237682599,1.863595366
80,1.167068,1.232421,0.74692352,0.76783648,2.388836971,1.948669577,1.582935661,1.283148529,1.047318823,0.691052832,5.530254966,3.159545968,2.48151422,1.469764252
81,1.165644,1.202927,0.74601216,0.75794272,2.388793211,1.924234569,1.540187655,1.233750124,1.014600099,0.682148448,5.519939326,3.154366268,2.480186475,1.442553333
82,1.170259,1.220685,0.74896576,0.76510208,2.391402571,1.939122057,1.564897645,1.252318116,1.026254493,0.688591872,5.528003366,3.159702968,2.48347767,1.452944188
83,1.169252,1.182323,0.74832128,0.752504,2.395854491,1.946283593,1.571026874,1.276421499,1.0307372,0.6772536,5.517231246,3.156542868,2.486026585,1.455898334
84,1.162738,1.201632,0.74415232,0.7565984,2.394998891,1.944399113,1.58791929,1.283535432,1.056028346,0.68093856,5.520497846,3.157748368,2.48568626,1.47637235
85,1.165845,1.237584,0.7461408,0.76909728,2.417347771,1.938678217,1.554942573,1.248754059,1.038203247,0.692187552,5.543771166,3.180559468,2.508150695,1.466674491
86,1.166436,1.474632,0.74651904,0.84514176,2.482842251,2.002273801,1.638619041,1.324495233,1.083596186,0.760627584,5.652162886,3.267502568,2.57900733,1.520377462
87,1.16329,1.220069,0.7445056,0.76267488,2.410225371,1.954580297,1.566464237,1.28837139,1.065897112,0.686407392,5.532987566,3.171606468,2.500570645,1.487038983
88,1.166396,1.212549,0.74649344,0.7612624,2.400662891,1.954930313,1.60354425,1.3180354,1.08202832,0.68513616,5.526393846,3.163528368,2.49137926,1.49832833
89,1.16168,1.212845,0.7434752,0.759848,2.377098491,1.933278793,1.579423034,1.276338427,1.029870742,0.6838632,5.512797246,3.144947868,2.469060835,1.452886167
90,1.162845,1.292673,0.7442208,0.78576576,2.437266251,1.976213001,1.588570401,1.302456321,1.067165056,0.707189184,5.568398886,3.202832568,2.52865783,1.494298558
91,1.163888,1.239502,0.74488832,0.7690848,2.420835291,1.939868233,1.556294586,1.263035669,1.020428535,0.69217632,5.543102446,3.181968868,2.511118685,1.452736602
92,1.164974,1.1859,0.74558336,0.75227968,2.366680171,1.905744137,1.544995309,1.258396248,1.019916998,0.677051712,5.498819766,3.132749968,2.45819762,1.442483592
93,1.161256,1.58561,0.74320384,0.87899712,2.497647611,2.035718089,1.652974471,1.347979577,1.093183661,0.791097408,5.690620926,3.294134268,2.596769275,1.533373782
94,1.161612,1.235653,0.74343168,0.7671248,2.403625291,1.951700233,1.582960186,1.282368149,1.039894519,0.69041232,5.531337446,3.167481368,2.49458931,1.465411889
95,1.160001,1.177333,0.74240064,0.74794688,2.374697371,1.923757897,1.542606317,1.240885054,1.007508043,0.673152192,5.497295566,3.135996468,2.465022145,1.433205728
96,1.159287,1.204873,0.74194368,0.7565312,2.403131691,1.949305353,1.565844282,1.259075426,1.021660341,0.68087808,5.519697046,3.161414368,2.49270236,1.449611146
97,1.162267,1.422596,0.74385088,0.82715616,2.442806651,1.961045321,1.578036257,1.301229005,1.068983204,0.744440544,5.609759486,3.226283068,2.538675755,1.500443177
98,1.162452,1.258484,0.74396928,0.77469952,2.388200011,1.931760009,1.557408007,1.285526406,1.048421125,0.697229568,5.529599526,3.158899768,2.48087495,1.470516854
99,1.158837,1.307278,0.74165568,0.7891568,2.416507291,1.951605833,1.592884666,1.275907733,1.036326186,0.71024112,5.557810446,3.187158868,2.509170185,1.466492722
100,1.159356,1.199084,0.74198784,0.7547008,2.396301291,1.949041033,1.597632826,1.294506261,1.052405009,0.67923072,5.512851446,3.154576368,2.48587006,1.472839281
101,1.155713,1.19286,0.73965632,0.75154336,2.386593851,1.923275081,1.577420065,1.281536052,1.057228841,0.676389024,5.504440286,3.145517068,2.476324655,1.474886486
102,1.157714,1.180316,0.74093696,0.7481696,2.385070091,1.929656073,1.574924858,1.289939887,1.043151909,0.67335264,5.499904646,3.142487368,2.47442441,1.463019001
103,1.157152,1.231972,0.74057728,0.76451968,2.411670171,1.959736137,1.576188909,1.268551128,1.044840902,0.688067712,5.529154766,3.170412468,2.501355745,1.469955215
104,1.160649,1.310732,0.74281536,0.79084192,2.420642411,1.973713929,1.592171143,1.293736914,1.060589532,0.711757728,5.559563126,3.190102768,2.5130075,1.486492179
105,1.155458,1.363586,0.73949312,0.80609408,2.445344571,1.964275657,1.597820525,1.31105642,1.085645136,0.725484672,5.586766366,3.216055468,2.538022295,1.511727202
106,1.15843,1.188401,0.7413952,0.75098592,2.371686411,1.914149129,1.566119303,1.292495442,1.036796354,0.675887328,5.494429126,3.133057768,2.46202925,1.456048637
107,1.156467,1.251057,0.74013888,0.77040768,2.383758171,1.928606537,1.551685229,1.258548184,1.031238547,0.693366912,5.519486766,3.151622468,2.475724245,1.455315331
108,1.157329,1.168354,0.74069056,0.74421856,2.364219051,1.899775241,1.535820193,1.229456154,0.987564923,0.669796704,5.483128086,3.123673568,2.45408268,1.414786652
109,1.157976,1.191348,0.74110464,0.75178368,2.376034171,1.934427337,1.561541869,1.285633496,1.044506796,0.676605312,5.496200766,3.136117468,2.466054995,1.46282893
110,1.156919,1.222478,0.74042816,0.76140704,2.383107531,1.924886025,1.55390882,1.267127056,1.036101645,0.685266336,5.508960806,3.146034168,2.47383919,1.45808815
111,1.15538,1.191412,0.7394432,0.75097344,2.389723931,1.942979145,1.580383316,1.281906653,1.055125322,0.675876096,5.501435406,3.145579668,2.478687865,1.473216191
112,1.153792,1.256328,0.73842688,0.7712384,2.411438891,1.950751113,1.57140089,1.270320712,1.03465657,0.69411456,5.532157846,3.171798368,2.50152876,1.46208493
113,1.150988,1.176187,0.73663232,0.744696,2.389946491,1.920357193,1.542285754,1.269028603,1.039222883,0.6702264,5.494469246,3.142207868,2.478011835,1.45981988
114,1.153559,1.316545,0.73827776,0.79043328,2.406333771,1.953067017,1.571653613,1.276922891,1.043538313,0.711389952,5.548000166,3.177166968,2.49904207,1.470264044
115,1.153828,1.26434,0.73844992,0.77381376,2.399964251,1.921571401,1.553257121,1.269805697,1.044644557,0.696432384,5.527795886,3.163880068,2.490943205,1.468491659
116,1.15224,1.380954,0.7374336,0.81062208,2.438622571,1.966498057,1.590398445,1.286318756,1.034655005,0.729559872,5.583533366,3.211077968,2.53173642,1.469939598
117,1.151605,1.344868,0.7370272,0.79887136,2.447521851,1.969217481,1.590973985,1.311579188,1.08006335,0.718984224,5.575832286,3.211677068,2.538560655,1.506386094
118,1.14936,1.203989,0.7355904,0.75307168,2.379972171,1.905577737,1.558462189,1.273169752,1.042935801,0.677764512,5.495857766,3.137914968,2.46945787,1.461931634
119,1.149163,1.162778,0.73546432,0.73982112,2.384971611,1.920377289,1.551501831,1.248801465,1.031441172,0.665839008,5.484706926,3.134839268,2.472438525,1.452120791
120,1.149063,1.147485,0.73540032,0.73388544,2.284171996,1.866937597,1.514750078,1.212600062,0.98168005,0.660496896,5.427971438,3.056071717,2.377146926,1.396558383
121,1.147973,1.213194,0.73470272,0.75557344,2.295309996,1.856247997,1.497398398,1.229918718,1.004734974,0.680016096,5.454828438,3.075069217,2.390249801,1.418801823
122,1.149265,1.203953,0.7355296,0.75302976,2.313016316,1.856813053,1.500250442,1.212600354,0.995280283,0.677726784,5.460737918,3.086877117,2.406481516,1.41359965
123,1.147745,1.188336,0.7345568,0.74754592,2.325782476,1.879825981,1.518660785,1.222528628,1.009622902,0.672791328,5.461237158,3.093509817,2.417714311,1.426400285
124,1.1511,1.149755,0.736704,0.7354128,2.308699356,1.862159485,1.490527588,1.19922207,0.978577656,0.66187152,5.440162478,3.074430917,2.400132246,1.397748308
125,1.151758,1.170956,0.73712512,0.74326848,2.299205036,1.844964029,1.478771223,1.200616979,0.998893583,0.668941632,5.442870998,3.071038017,2.392163281,1.41332247
126,1.147628,1.206445,0.73448192,0.75330336,2.319889916,1.870311933,1.503449546,1.213959637,0.99836771,0.677973024,5.462848318,3.091369117,2.412759716,1.416967991
127,1.147082,1.200948,0.73413248,0.7513696,2.322206156,1.875764925,1.53781194,1.255849552,1.006679642,0.67623264,5.461672678,3.091939417,2.414639471,1.423731597
128,1.147603,1.136811,0.73446592,0.7241056,2.297992156,1.849193725,1.51695498,1.227163984,0.982931187,0.65169504,5.421901678,3.059946917,2.388480846,1.398334333
129,1.14724,1.271518,0.7342336,0.77400256,2.334539116,1.893231293,1.533785034,1.235428027,0.991542422,0.696602304,5.489672118,3.112105617,2.428930741,1.415655061
130,1.142093,1.240034,0.73093952,0.76228064,2.325867196,1.886293757,1.529035006,1.250028004,1.005622404,0.686052576,5.473214238,3.099540717,2.419285576,1.424406067
131,1.143786,1.161319,0.73202304,0.7376336,2.312670156,1.878536125,1.5196289,1.22210312,1.000482496,0.66387024,5.441568678,3.077119417,2.403782471,1.41580988
132,1.14746,1.162394,0.7343744,0.73915328,2.282439836,1.832351869,1.493881495,1.215105196,1.005284157,0.665237952,5.427573198,3.055006517,2.375581506,1.415228629
133,1.141423,1.180805,0.73051072,0.74311296,2.309449516,1.873559613,1.51204769,1.234438152,1.023150522,0.668801664,5.444637718,3.077043617,2.401348041,1.433929141
134,1.148075,1.171393,0.734768,0.74222976,2.292016316,1.868013053,1.501210442,1.215768354,0.997814683,0.668006784,5.434637918,3.063327117,2.384844016,1.41091717
135,1.148976,1.172242,0.73534464,0.74278976,2.297226316,1.865381053,1.495904842,1.233923874,1.015939099,0.668510784,5.437402918,3.067314617,2.389748391,1.426214203
136,1.14687,1.17559,0.7339968,0.7431872,2.285473756,1.857179005,1.509743204,1.236994563,1.010795651,0.66886848,5.431524078,3.058498917,2.378730046,1.420336304
137,1.144615,1.236856,0.7325536,0.76207072,2.321407276,1.861525821,1.516420657,1.252736525,1.02218922,0.685863648,5.467974358,3.094690817,2.414728161,1.436689539
138,1.145278,1.184606,0.73297792,0.74556288,2.281949436,1.847159549,1.514127639,1.244102111,1.003681689,0.671006592,5.431337598,3.056643517,2.375622956,1.414274055
139,1.144806,1.1412,0.73267584,0.72921408,2.303450636,1.859160509,1.511728407,1.234582726,1.000066181,0.656292672,5.425339398,3.064395017,2.393686731,1.412931948
140,1.145597,1.179248,0.73318208,0.7439504,2.284836956,1.851869565,1.500295652,1.213436522,0.987949217,0.66955536,5.430368878,3.057602917,2.378028446,1.401879957
141,1.144424,1.200067,0.73243136,0.75023712,2.320573676,1.865258941,1.517407153,1.220325722,1.010260578,0.675213408,5.454123958,3.087348817,2.412267461,1.425678226
142,1.141012,1.21509,0.73024768,0.75395264,2.322139196,1.883311357,1.538249086,1.268599268,1.017279415,0.678557376,5.458222238,3.090180717,2.414149576,1.431859675
143,1.145085,1.173998,0.7328544,0.74210656,2.302143116,1.849314493,1.493851594,1.210681275,1.00014502,0.667895904,5.435978118,3.069060617,2.393872491,1.413928139
144,1.139389,1.216327,0.72920896,0.75382912,2.325715676,1.865372541,1.503898033,1.241118426,0.993694741,0.678446208,5.459086958,3.092401317,2.417387086,1.413436056
145,1.138969,1.187739,0.72894016,0.74454656,2.280283116,1.846226493,1.505381194,1.210304955,0.994643964,0.670091904,5.426688118,3.053485617,2.373583741,1.406412295
146,1.14189,1.272915,0.7308096,0.7727376,2.317924156,1.879539325,1.52003146,1.251225168,1.034180134,0.69546384,5.473299678,3.095611917,2.412346096,1.446466491
147,1.142698,1.211904,0.73132672,0.75347264,2.289309196,1.865447357,1.513957886,1.231566308,0.999653047,0.678125376,5.439327238,3.064318217,2.383061451,1.412586081
148,1.140818,1.203143,0.73012352,0.75006752,2.297354076,1.860683261,1.522146609,1.234117287,1.02289383,0.675060768,5.439544558,3.068449317,2.390127886,1.432004927
149,1.137183,1.153592,0.72779712,0.733048,2.286584556,1.852467645,1.500374116,1.237899293,1.010719434,0.6597432,5.416740278,3.051662417,2.377854021,1.418908031
150,1.138549,1.166382,0.72867136,0.73757792,2.305764476,1.875811581,1.504649265,1.222119412,0.982095529,0.663820128,5.430460158,3.068112317,2.396351436,1.399298887
151,1.137478,1.189561,0.72798592,0.74465248,2.291889036,1.871911229,1.507528983,1.235223187,1.014178549,0.670187232,5.430196998,3.061043017,2.384177531,1.423551443
152,1.138145,1.223691,0.7284128,0.75578752,2.305274076,1.864619261,1.511295409,1.232236327,0.994589062,0.680208768,5.447624558,3.076449317,2.398067886,1.410961113
153,1.138506,1.247369,0.72864384,0.76348,2.331616556,1.866893245,1.513914596,1.249531677,1.014825341,0.687132,5.468088278,3.099852417,2.423675521,1.431830756
154,1.134534,1.137337,0.72610176,0.72699872,2.268185276,1.848148221,1.485318577,1.189054861,0.983643889,0.654298848,5.399491358,3.033838317,2.359598536,1.393682775
155,1.135238,1.136655,0.72655232,0.72700576,2.282842316,1.846673853,1.480139082,1.216111266,0.974489013,0.654305184,5.406426918,3.044634617,2.373290391,1.388518134
156,1.136728,1.12994,0.72750592,0.72098944,2.283075996,1.835260797,1.487808638,1.22664691,0.998517528,0.648890496,5.400127438,3.041601717,2.372707426,1.407134366
157,1.138263,1.231085,0.72848832,0.75819136,2.301727916,1.862582333,1.524465866,1.233572693,0.996058154,0.682372224,5.446255318,3.073991617,2.394793841,1.411644847
158,1.13478,1.133819,0.7262592,0.72533664,2.263123196,1.823298557,1.483438846,1.199151076,0.959720861,0.652802976,5.393698238,3.028410717,2.354445076,1.373458832
159,1.136679,1.187746,0.72747456,0.743816,2.278652556,1.846122045,1.510097636,1.223678109,0.985742487,0.6694344,5.419542278,3.049097417,2.371263771,1.398413473
160,1.131153,1.174907,0.72393792,0.7379392,2.012772838,1.629818271,1.341454616,1.102763693,0.915010955,0.66414528,5.280325619,2.846549229,2.121216936,1.30131861
161,1.13535,1.17834,0.726624,0.7403808,2.005464438,1.635171551,1.31893724,1.071949792,0.884759834,0.66634272,5.278713019,2.842088729,2.114620511,1.276225613
162,1.132596,1.14137,0.72486144,0.72766912,2.021802758,1.648242207,1.324993765,1.067595012,0.86607601,0.654902208,5.273770499,2.847786629,2.128298726,1.262418134
163,1.133585,1.261516,0.7254944,0.76643232,2.040015958,1.649612767,1.345290213,1.093832171,0.898265736,0.689789088,5.321240299,2.880628129,2.150169001,1.294738215
